"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1270","1300 NEW YORK AVE NE",38.914866,-76.987834,38.914816,38.914916,-76.987884,-76.987784
"1271","ROCK CREEK POTOMAC PKY NW",38.9022422,-77.0570762,38.9020398,38.9023826,-77.0571499,-77.0570279
"1272","3300 MINNESOTA AVE SE",38.882127,-76.958692,38.882077,38.882177,-76.958742,-76.958642
"1273","1300 U ST NW",38.916917,-77.029779,38.916867,38.916967,-77.029829,-77.029729
"1274","1300 COLUMBIA RD NW",38.9274451,-77.0300322746325,38.9273775,38.9274994,-77.0301393,-77.0299255
"1275","EXIT 5",4.7069073,103.3953319,4.7042235,4.7083188,103.3932719,103.3972845
"1276","3900 CLAY PL NE",38.893277,-76.950354,38.893227,38.893327,-76.950404,-76.950304
"1277","3200 MINNESOTA AVE SE",38.8787505,-76.9611932,38.8787005,38.8788005,-76.9612432,-76.9611432
"1278","BENNING RD NE",38.8996121,-76.9799759,38.8994773,38.8997708,-76.9809591,-76.9792672
"1279","1300 7TH ST NW",35.750042,-81.349807,35.749992,35.750092,-81.349857,-81.349757
"1280","8TH ST NW",35.1037169,-106.6542401,35.1002897,35.106714,-106.6552053,-106.653188
"1281","3200 MINNESOTA AVE SE",38.8787505,-76.9611932,38.8787005,38.8788005,-76.9612432,-76.9611432
"1282","5100 MINNESOTA AVE SE",38.887795,-76.9545211,38.887583,38.8887652,-76.95467,-76.9538396
"1283","8TH ST NW",35.1037169,-106.6542401,35.1002897,35.106714,-106.6552053,-106.653188
"1284","1300 U ST NW",38.916917,-77.029779,38.916867,38.916967,-77.029829,-77.029729
"1285","2100 CONSTITUTION AVE NW",38.892019,-77.046834,38.891969,38.892069,-77.046884,-77.046784
"1286","1300 16TH ST NW",28.0339684833827,-81.7455239224374,28.033918483383,28.034018483383,-81.745573922437,-81.745473922437
"1287","BENNING RD NE",38.8996121,-76.9799759,38.8994773,38.8997708,-76.9809591,-76.9792672
"1288","4800 JAY ST NE",38.9017097,-76.9335710907621,38.9016241,38.9017979,-76.9336029,-76.9335397
"1289","4200 NANNIE HELEN BURROUGHS AVE NE",38.90204795,-76.9420156126136,38.9019326,38.9021586,-76.9421707,-76.9417684
"1290","4500 3RD ST SE",38.825113,-77.0011796,38.825063,38.825163,-77.0012296,-77.0011296
"1291","4800 NANNIE HELEN BURROUGHS AVE NE",38.8991112,-76.9334453,38.8990612,38.8991612,-76.9334953,-76.9333953
"1292","1300 16TH ST NW",28.0339684833827,-81.7455239224374,28.033918483383,28.034018483383,-81.745573922437,-81.745473922437
"1293","1700 BENNING RD NE",38.89953,-76.979095,38.89948,38.89958,-76.979145,-76.979045
"1294","K ST NW",38.9025235,-77.0421925,38.9024735,38.9025735,-77.0429455,-77.0421925
"1295","3300 MINNESOTA AVE SE",38.882127,-76.958692,38.882077,38.882177,-76.958742,-76.958642
"1296","8TH ST NW",35.1037169,-106.6542401,35.1002897,35.106714,-106.6552053,-106.653188
"1297","3300 MINNESOTA AVE SE",38.882127,-76.958692,38.882077,38.882177,-76.958742,-76.958642
"1298","1200 MEIGS PL NE",38.908341,-76.986096,38.908291,38.908391,-76.986146,-76.986046
"1299","1500 16TH ST NW",38.91003865,-77.0369887253891,38.909771,38.9103381,-77.0371838,-77.03677
"1300","SOUTH CAPITOL ST SE",38.8696936,-77.007598,38.8679144,38.8701259,-77.0082712,-77.0031643
"1301","NORTH CAPITOL ST NW",38.956315,-77.0090472,38.9562058,38.956587,-77.0090522,-77.0090472
"1302","13TH ST NW",27.7729748,-82.6517723,27.7725185,27.7729748,-82.6517723,-82.6517694
"1303","1300 U ST NW",38.916917,-77.029779,38.916867,38.916967,-77.029829,-77.029729
"1304","5100 MINNESOTA AVE SE",38.887795,-76.9545211,38.887583,38.8887652,-76.95467,-76.9538396
"1305","1800 BENNING RD NE",38.8993248,-76.9773425383463,38.8992705,38.8993795,-76.977384,-76.9773003
"1306","13TH & H ST NE",40.7507365,-73.8406367843219,40.7506587,40.7508358,-73.8407382,-73.8405271
"1307","1200 U ST NW",38.9167392,-77.0283304,38.9166892,38.9167892,-77.0283804,-77.0282804
"1308","300 37TH ST SE",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1309","1500 27TH ST SE",41.9704820153272,-91.6281342018627,41.970432015327,41.970532015327,-91.628184201863,-91.628084201863
"1310","8TH ST NW",35.1037169,-106.6542401,35.1002897,35.106714,-106.6552053,-106.653188
"1311","3800 EAST CAPITOL ST NE",38.8900618,-76.951151830182,38.8899991,38.8901188,-76.9511799,-76.9511227
"1312","13TH ST NW",27.7729748,-82.6517723,27.7725185,27.7729748,-82.6517723,-82.6517694
"1313","8TH ST NW",35.1037169,-106.6542401,35.1002897,35.106714,-106.6552053,-106.653188
"1314","ROCK CREEK POTOMAC PKY NW",38.9022422,-77.0570762,38.9020398,38.9023826,-77.0571499,-77.0570279
"1315","22ND ST NW",27.786055,-82.6631448,27.7847074,27.787577,-82.663156,-82.6631413
"1316","8TH ST NW",35.1037169,-106.6542401,35.1002897,35.106714,-106.6552053,-106.653188
"1317","N/B 14TH ST BRIDGE SW",32.4725702,-84.994855,32.4725702,32.4725805,-84.9971729,-84.994855
